Iter 0500 | Time 3.0122(2.7976) | Bit/dim 2.0455(2.0675) | Logit LogP -1370.1525(-1397.4468) | Steps 109(108.58) | Reg 0.0000(0.0000)
Iter 0510 | Time 2.8277(2.8214) | Bit/dim 2.0041(2.0548) | Logit LogP -1369.0129(-1390.6416) | Steps 109(109.50) | Reg 0.0000(0.0000)
Iter 0520 | Time 2.7978(2.8565) | Bit/dim 2.0002(2.0454) | Logit LogP -1354.4185(-1383.5007) | Steps 109(109.80) | Reg 0.0000(0.0000)
Iter 0530 | Time 2.8101(2.8471) | Bit/dim 2.0229(2.0339) | Logit LogP -1360.1051(-1377.4982) | Steps 109(109.59) | Reg 0.0000(0.0000)
Iter 0540 | Time 2.8585(2.8483) | Bit/dim 1.9993(2.0201) | Logit LogP -1344.2712(-1369.7126) | Steps 109(109.44) | Reg 0.0000(0.0000)
Iter 0550 | Time 2.7658(2.8398) | Bit/dim 2.0036(2.0084) | Logit LogP -1358.8750(-1364.6111) | Steps 109(109.32) | Reg 0.0000(0.0000)
Iter 0560 | Time 2.7526(2.8425) | Bit/dim 1.9765(2.0035) | Logit LogP -1347.2250(-1360.7300) | Steps 109(109.24) | Reg 0.0000(0.0000)
Iter 0570 | Time 2.9806(2.8447) | Bit/dim 1.9702(1.9979) | Logit LogP -1332.9258(-1357.1001) | Steps 109(109.17) | Reg 0.0000(0.0000)
Iter 0580 | Time 2.9587(2.8693) | Bit/dim 1.9375(1.9893) | Logit LogP -1339.9717(-1353.4226) | Steps 109(109.44) | Reg 0.0000(0.0000)
Iter 0590 | Time 2.8119(2.8593) | Bit/dim 1.9993(1.9882) | Logit LogP -1354.6595(-1351.0378) | Steps 115(109.51) | Reg 0.0000(0.0000)
validating...
Epoch 0002 | Time 34.2222, Bit/dim 1.9450, Logit LogP -1329.4552
Iter 0600 | Time 2.9086(2.8794) | Bit/dim 1.9877(1.9797) | Logit LogP -1345.3744(-1347.0356) | Steps 109(109.84) | Reg 0.0000(0.0000)
Iter 0610 | Time 3.0248(2.8913) | Bit/dim 1.9418(1.9772) | Logit LogP -1320.6609(-1345.4031) | Steps 115(110.75) | Reg 0.0000(0.0000)
Iter 0620 | Time 2.9497(2.9170) | Bit/dim 1.9459(1.9764) | Logit LogP -1337.3315(-1343.7401) | Steps 121(112.82) | Reg 0.0000(0.0000)
Iter 0630 | Time 2.9802(2.9388) | Bit/dim 1.9555(1.9657) | Logit LogP -1319.1073(-1339.7409) | Steps 121(114.81) | Reg 0.0000(0.0000)
Iter 0640 | Time 3.1337(2.9313) | Bit/dim 1.9513(1.9602) | Logit LogP -1325.6686(-1337.7921) | Steps 121(115.84) | Reg 0.0000(0.0000)
Iter 0650 | Time 2.8714(2.9583) | Bit/dim 1.9384(1.9595) | Logit LogP -1333.2305(-1336.4902) | Steps 121(117.03) | Reg 0.0000(0.0000)
Iter 0660 | Time 3.1022(2.9723) | Bit/dim 1.9631(1.9581) | Logit LogP -1329.0660(-1336.3127) | Steps 121(117.77) | Reg 0.0000(0.0000)
Iter 0670 | Time 2.8702(2.9663) | Bit/dim 1.9326(1.9543) | Logit LogP -1325.9944(-1335.0535) | Steps 121(118.47) | Reg 0.0000(0.0000)
Iter 0680 | Time 3.0072(2.9817) | Bit/dim 1.9022(1.9464) | Logit LogP -1311.4839(-1330.4831) | Steps 121(118.97) | Reg 0.0000(0.0000)
Iter 0690 | Time 3.0684(2.9956) | Bit/dim 1.8895(1.9377) | Logit LogP -1307.4834(-1327.0581) | Steps 121(119.51) | Reg 0.0000(0.0000)
Iter 0700 | Time 3.1762(3.0025) | Bit/dim 1.9096(1.9414) | Logit LogP -1328.5234(-1328.1239) | Steps 127(120.08) | Reg 0.0000(0.0000)
Iter 0710 | Time 2.8786(2.9883) | Bit/dim 1.9090(1.9365) | Logit LogP -1312.1155(-1325.1924) | Steps 121(120.32) | Reg 0.0000(0.0000)
Iter 0720 | Time 2.9252(3.0021) | Bit/dim 1.9085(1.9329) | Logit LogP -1317.2367(-1322.8750) | Steps 121(120.97) | Reg 0.0000(0.0000)
Iter 0730 | Time 2.8729(2.9955) | Bit/dim 1.9098(1.9288) | Logit LogP -1302.0753(-1319.5126) | Steps 127(121.30) | Reg 0.0000(0.0000)
Iter 0740 | Time 3.2752(3.0145) | Bit/dim 1.9460(1.9277) | Logit LogP -1328.6630(-1320.3153) | Steps 127(122.19) | Reg 0.0000(0.0000)
Iter 0750 | Time 2.9705(2.9944) | Bit/dim 1.9520(1.9266) | Logit LogP -1320.1438(-1318.2368) | Steps 121(122.20) | Reg 0.0000(0.0000)
Iter 0760 | Time 2.8093(2.9962) | Bit/dim 1.9180(1.9243) | Logit LogP -1311.1904(-1317.1320) | Steps 121(122.51) | Reg 0.0000(0.0000)
Iter 0770 | Time 2.8535(3.0025) | Bit/dim 1.8836(1.9152) | Logit LogP -1300.9424(-1314.1704) | Steps 121(123.38) | Reg 0.0000(0.0000)
Iter 0780 | Time 2.8746(3.0072) | Bit/dim 1.9054(1.9149) | Logit LogP -1316.0077(-1314.5253) | Steps 127(124.16) | Reg 0.0000(0.0000)
Iter 0790 | Time 2.9991(3.0211) | Bit/dim 1.8808(1.9103) | Logit LogP -1305.0704(-1312.7520) | Steps 133(124.47) | Reg 0.0000(0.0000)
Iter 0800 | Time 3.1353(3.0082) | Bit/dim 1.9308(1.9096) | Logit LogP -1302.8177(-1310.4489) | Steps 127(124.36) | Reg 0.0000(0.0000)
Iter 0810 | Time 2.9302(3.0068) | Bit/dim 1.8762(1.9080) | Logit LogP -1300.3713(-1308.7102) | Steps 127(124.73) | Reg 0.0000(0.0000)
Iter 0820 | Time 2.9800(3.0412) | Bit/dim 1.8942(1.9082) | Logit LogP -1301.2620(-1308.5520) | Steps 121(125.93) | Reg 0.0000(0.0000)
Iter 0830 | Time 3.2023(3.0349) | Bit/dim 1.8961(1.9056) | Logit LogP -1301.6029(-1308.5685) | Steps 127(126.18) | Reg 0.0000(0.0000)
Iter 0840 | Time 3.2139(3.0459) | Bit/dim 1.9289(1.9057) | Logit LogP -1303.1912(-1307.2925) | Steps 127(126.70) | Reg 0.0000(0.0000)
Iter 0850 | Time 3.0184(3.0528) | Bit/dim 1.8987(1.9036) | Logit LogP -1299.7759(-1305.4402) | Steps 127(126.95) | Reg 0.0000(0.0000)
Iter 0860 | Time 2.8882(3.0456) | Bit/dim 1.9099(1.9014) | Logit LogP -1289.9824(-1303.2354) | Steps 127(127.45) | Reg 0.0000(0.0000)
Iter 0870 | Time 3.0580(3.0408) | Bit/dim 1.8489(1.8945) | Logit LogP -1295.5665(-1300.1742) | Steps 127(127.79) | Reg 0.0000(0.0000)
Iter 0880 | Time 2.9575(3.0650) | Bit/dim 1.8276(1.8903) | Logit LogP -1283.7040(-1297.9050) | Steps 133(128.40) | Reg 0.0000(0.0000)
Iter 0890 | Time 3.0114(3.0646) | Bit/dim 1.8859(1.8915) | Logit LogP -1300.4631(-1298.2335) | Steps 133(129.00) | Reg 0.0000(0.0000)
validating...
Epoch 0003 | Time 44.3915, Bit/dim 1.8875, Logit LogP -1298.8654
Iter 0900 | Time 2.9527(3.0666) | Bit/dim 1.9196(1.8858) | Logit LogP -1304.9634(-1296.4437) | Steps 127(129.42) | Reg 0.0000(0.0000)
Iter 0910 | Time 3.0465(3.0726) | Bit/dim 1.8624(1.8881) | Logit LogP -1291.1791(-1298.3849) | Steps 133(129.89) | Reg 0.0000(0.0000)
Iter 0920 | Time 3.0719(3.0843) | Bit/dim 1.8674(1.8854) | Logit LogP -1289.2902(-1296.0854) | Steps 145(131.06) | Reg 0.0000(0.0000)
Iter 0930 | Time 3.2194(3.0935) | Bit/dim 1.8941(1.8812) | Logit LogP -1304.0200(-1294.1117) | Steps 127(131.55) | Reg 0.0000(0.0000)
Iter 0940 | Time 3.1770(3.1006) | Bit/dim 1.8853(1.8793) | Logit LogP -1296.3336(-1292.8777) | Steps 127(131.89) | Reg 0.0000(0.0000)
Iter 0950 | Time 3.0616(3.1052) | Bit/dim 1.9197(1.8813) | Logit LogP -1299.0691(-1294.4537) | Steps 139(132.71) | Reg 0.0000(0.0000)
Iter 0960 | Time 3.2697(3.1102) | Bit/dim 1.8593(1.8768) | Logit LogP -1298.8247(-1291.7975) | Steps 133(132.49) | Reg 0.0000(0.0000)
Iter 0970 | Time 2.9560(3.1204) | Bit/dim 1.8595(1.8825) | Logit LogP -1292.9742(-1294.2581) | Steps 127(133.25) | Reg 0.0000(0.0000)
Iter 0980 | Time 3.1731(3.1462) | Bit/dim 1.8726(1.8843) | Logit LogP -1290.5177(-1295.0903) | Steps 133(133.95) | Reg 0.0000(0.0000)
Iter 0990 | Time 3.0754(3.1355) | Bit/dim 1.8968(1.8837) | Logit LogP -1291.1938(-1294.8410) | Steps 133(134.42) | Reg 0.0000(0.0000)
Iter 1000 | Time 3.3100(3.1443) | Bit/dim 1.8829(1.8792) | Logit LogP -1284.4631(-1292.8093) | Steps 133(134.54) | Reg 0.0000(0.0000)
Iter 1010 | Time 3.2051(3.1289) | Bit/dim 1.8566(1.8726) | Logit LogP -1269.3345(-1289.3971) | Steps 139(134.31) | Reg 0.0000(0.0000)
Iter 1020 | Time 3.0682(3.1269) | Bit/dim 1.8602(1.8697) | Logit LogP -1270.1885(-1286.5758) | Steps 133(134.70) | Reg 0.0000(0.0000)
Iter 1030 | Time 3.1621(3.1599) | Bit/dim 1.8078(1.8648) | Logit LogP -1262.2480(-1286.0919) | Steps 133(135.66) | Reg 0.0000(0.0000)
Iter 1040 | Time 3.1963(3.1660) | Bit/dim 1.8500(1.8636) | Logit LogP -1272.3990(-1285.0582) | Steps 139(136.41) | Reg 0.0000(0.0000)
Iter 1050 | Time 3.0770(3.1702) | Bit/dim 1.8890(1.8608) | Logit LogP -1287.6755(-1284.2723) | Steps 145(136.62) | Reg 0.0000(0.0000)
Iter 1060 | Time 3.3847(3.1754) | Bit/dim 1.8437(1.8615) | Logit LogP -1271.4285(-1283.2746) | Steps 139(136.68) | Reg 0.0000(0.0000)
Iter 1070 | Time 3.0115(3.1783) | Bit/dim 1.8365(1.8612) | Logit LogP -1273.5886(-1283.7373) | Steps 127(137.38) | Reg 0.0000(0.0000)
Iter 1080 | Time 3.3528(3.1699) | Bit/dim 1.8662(1.8602) | Logit LogP -1276.0170(-1284.0298) | Steps 139(137.68) | Reg 0.0000(0.0000)
Iter 1090 | Time 3.2430(3.1669) | Bit/dim 1.8418(1.8576) | Logit LogP -1281.7509(-1281.8410) | Steps 133(137.15) | Reg 0.0000(0.0000)
Iter 1100 | Time 3.0551(3.1552) | Bit/dim 1.8283(1.8559) | Logit LogP -1278.1500(-1280.8568) | Steps 133(137.31) | Reg 0.0000(0.0000)
Iter 1110 | Time 3.3941(3.1922) | Bit/dim 1.8831(1.8536) | Logit LogP -1283.6359(-1279.5815) | Steps 145(138.72) | Reg 0.0000(0.0000)
Iter 1120 | Time 3.0220(3.1769) | Bit/dim 1.8437(1.8505) | Logit LogP -1270.4237(-1277.9664) | Steps 133(138.93) | Reg 0.0000(0.0000)
Iter 1130 | Time 3.0906(3.1927) | Bit/dim 1.8441(1.8488) | Logit LogP -1271.1106(-1276.5566) | Steps 145(139.19) | Reg 0.0000(0.0000)
Iter 1140 | Time 3.2942(3.1976) | Bit/dim 1.8404(1.8511) | Logit LogP -1291.3325(-1278.5342) | Steps 139(139.51) | Reg 0.0000(0.0000)
Iter 1150 | Time 3.1314(3.1991) | Bit/dim 1.8322(1.8481) | Logit LogP -1262.7067(-1277.2057) | Steps 145(139.52) | Reg 0.0000(0.0000)
Iter 1160 | Time 3.3546(3.2033) | Bit/dim 1.7963(1.8421) | Logit LogP -1261.1444(-1274.8867) | Steps 145(139.55) | Reg 0.0000(0.0000)
Iter 1170 | Time 3.1117(3.2021) | Bit/dim 1.8199(1.8426) | Logit LogP -1263.2655(-1273.4922) | Steps 145(140.16) | Reg 0.0000(0.0000)
